"배달 음식 관련 조사"

"","","","P1 B2","P1 B3","","","","","","","","","","","","P2 B2","P2 B3","P2 B4","P2 B5","P2 B6","P2 B7"
"응답자ID","시작일시","종료일시","성별은 무엇인가요?","배달 음식을 선호하는 순서대로 차례대로 선택해주세요.
(만약 잘못 선택한 경우 다시 항목을 선택하시면 선택 취소됩니다.)","","","","","","","","","","","","점심, 날씨 나쁠 때 먹고 싶은 음식","점심, 날씨 좋을 때 먹고 싶은 음식","저녁, 날씨 나쁠 때 먹고 싶은 음식","저녁, 날씨 좋을 때 먹고 싶은 음식","야식, 날씨 나쁠 때 먹고 싶은 음식","야식, 날씨 좋을 때 먹고 싶은 음식"
"","","","응답","한식","분식","카페/디저트","돈까스/회/일식","치킨","피자","아시안/양식","중식","족발/보쌈","찜/탕","도시락","패스트푸드","응답","응답","응답","응답","응답","응답"
"32","2021-05-19 00:48:04","2021-05-19 00:49:09","남성","7","2","12","1","3","8","4","9","5","10","11","6","돈까스/회/일식","돈까스/회/일식","돈까스/회/일식","돈까스/회/일식","족발/보쌈","치킨"
"33","2021-05-19 00:48:08","2021-05-19 00:49:35","여성","4","1","11","5","2","8","12","7","3","6","10","9","분식","도시락","한식","족발/보쌈","치킨","치킨"
"34","2021-05-19 00:43:37","2021-05-19 00:49:39","남성","7","6","8","2","3","4","9","5","11","10","12","1","한식","분식","찜/탕","치킨","족발/보쌈","아시안/양식"
"35","2021-05-19 00:50:22","2021-05-19 00:53:44","여성","8","2","7","9","1","4","6","5","11","12","10","3","카페/디저트","분식","카페/디저트","치킨","치킨","치킨"
"36","2021-05-19 00:52:38","2021-05-19 00:53:59","남성","11","5","12","10","2","1","7","4","8","9","6","3","중식","피자","족발/보쌈","치킨","치킨","치킨"
"37","2021-05-19 01:00:40","2021-05-19 01:02:21","남성","8","5","12","4","1","2","11","6","9","10","7","3","도시락","카페/디저트","족발/보쌈","돈까스/회/일식","치킨","치킨"
"38","2021-05-19 01:04:52","2021-05-19 01:06:19","남성","2","8","3","1","9","12","4","5","6","10","11","7","중식","한식","족발/보쌈","돈까스/회/일식","치킨","치킨"
"39","2021-05-19 01:09:09","2021-05-19 01:11:17","여성","5","4","10","8","1","6","9","7","3","2","11","12","찜/탕","카페/디저트","찜/탕","분식","치킨","치킨"
"40","2021-05-19 01:24:21","2021-05-19 01:26:37","여성","6","8","12","10","4","5","9","7","3","2","11","1","한식","패스트푸드","찜/탕","족발/보쌈","치킨","치킨"
"41","2021-05-19 01:32:35","2021-05-19 01:35:08","여성","5","2","9","8","1","3","10","7","6","12","11","4","중식","치킨","피자","족발/보쌈","분식","족발/보쌈"
"42","2021-05-19 02:11:38","2021-05-19 02:14:34","여성","11","1","5","9","2","7","12","3","8","6","10","4","패스트푸드","중식","피자","돈까스/회/일식","분식","치킨"
"43","2021-05-19 03:32:51","2021-05-19 03:34:51","여성","7","3","12","4","1","5","11","2","6","9","10","8","분식","돈까스/회/일식","치킨","치킨","치킨","치킨"
"44","2021-05-19 05:28:28","2021-05-19 05:29:05","남성","1","2","7","8","6","3","9","5","10","12","4","11","카페/디저트","중식","아시안/양식","아시안/양식","돈까스/회/일식","피자"
"45","2021-05-19 09:09:43","2021-05-19 09:12:46","여성","1","2","12","6","3","11","5","7","4","8","10","9","분식","분식","한식","아시안/양식","카페/디저트","족발/보쌈"
"46","2021-05-19 09:13:24","2021-05-19 09:15:10","남성","9","6","12","3","2","4","7","5","11","10","8","1","도시락","도시락","패스트푸드","패스트푸드","족발/보쌈","족발/보쌈"
"47","2021-05-19 09:34:17","2021-05-19 09:36:40","남성","5","4","12","11","1","2","9","7","8","10","3","6","도시락","치킨","찜/탕","족발/보쌈","찜/탕","족발/보쌈"
"48","2021-05-19 11:31:04","2021-05-19 11:36:18","여성","9","10","7","2","5","6","3","1","4","12","11","8","중식","중식","치킨","치킨","족발/보쌈","족발/보쌈"
"49","2021-05-19 12:00:16","2021-05-19 12:01:29","남성","1","7","10","12","2","3","9","11","6","8","5","4","찜/탕","패스트푸드","치킨","도시락","피자","치킨"
"50","2021-05-19 12:06:26","2021-05-19 12:08:05","남성","9","8","10","1","2","5","11","7","6","12","4","3","돈까스/회/일식","족발/보쌈","도시락","돈까스/회/일식","족발/보쌈","치킨"
"51","2021-05-19 12:06:52","2021-05-19 12:08:58","남성","7","6","12","3","4","2","9","10","8","11","5","1","패스트푸드","돈까스/회/일식","패스트푸드","피자","패스트푸드","피자"
"52","2021-05-19 12:08:50","2021-05-19 12:09:42","남성","11","9","12","3","4","2","5","6","7","10","8","1","패스트푸드","패스트푸드","패스트푸드","패스트푸드","패스트푸드","패스트푸드"
"53","2021-05-19 12:16:38","2021-05-19 12:19:55","여성","8","4","5","7","2","1","12","3","11","10","9","6","분식","패스트푸드","찜/탕","피자","치킨","치킨"
"54","2021-05-19 12:21:36","2021-05-19 12:23:14","여성","3","10","4","2","1","8","5","6","7","12","11","9","카페/디저트","돈까스/회/일식","족발/보쌈","카페/디저트","분식","치킨"
"55","2021-05-19 12:21:58","2021-05-19 12:23:14","남성","9","5","11","12","1","3","8","2","6","7","10","4","치킨","치킨","치킨","치킨","치킨","치킨"
"56","2021-05-19 12:24:21","2021-05-19 12:26:51","남성","10","11","8","3","1","4","6","2","5","12","7","9","중식","치킨","아시안/양식","족발/보쌈","패스트푸드","카페/디저트"
"57","2021-05-19 12:25:04","2021-05-19 12:27:45","남성","5","12","11","10","1","2","6","4","3","7","9","8","패스트푸드","카페/디저트","한식","치킨","족발/보쌈","패스트푸드"
